Soil_Type,Nitrogen,Phosphorus,Potassium,pH,Moisture,Recommended Fertilizer
Andosol,41,24,18,6.75,33,Bat Fertilizer
Calcareous,33,30,20,6.55,33,Poultry Manure
Limestone,45,21,13,6.35,37,Chitin
Delta,47,31,11,5.76,31,Organic Liquid Fertilizer
Spodosol,42,37,38,7.27,38,Calcium Nitrate
Acidic,33,40,15,6.4,43,Seaweed Extract
Desert,43,35,23,5.89,38,Cottonseed Meal
Andosol,21,36,13,6.24,45,Plant Extracts
Steppe,45,21,15,6.33,46,Ammonium Sulphate
Forest,33,28,28,7.16,45,Poultry Manure
Humus,26,29,15,6.97,41,Cow Manure
Humus,22,21,11,7.04,32,Leaf Mold
River,42,23,27,5.52,40,Cow Manure
Latosol,37,22,22,6.33,43,Liquid Fertilizer
Mollisol,57,37,18,6.46,47,Green Manure
Histosol,54,43,32,5.54,34,Magnesium Sulfate
River,34,32,28,6.02,45,Green Manure
Loamy,44,45,22,7.02,49,Folic Acid
Swamp,56,44,20,5.77,34,Fish Emulsion
Latosol,47,49,10,6.57,32,Blood Meal
Sandy,29,32,33,5.93,41,NPK
River,58,31,39,5.52,30,NPK
Gleysol,36,28,31,5.98,38,Chitin
Black,58,45,16,7.45,38,Compost Tea
Vertisol,41,38,34,7.1,33,Bat Fertilizer
Sandy,45,49,30,7.42,32,Humus
Desert,44,48,24,6.48,46,Vermicompost
Gray,36,17,10,5.72,31,Calcium Nitrate
Volcanic,32,40,21,6.6,30,Citrus Fertilizer
Swamp,39,37,35,6.41,37,NPK
Gleysol,44,29,16,7.19,42,Seaweed Extract
Tundra,23,18,24,5.7,44,Bio-Fertilizer
Chernozem,29,43,30,6.48,37,Ammonium Nitrate
Wetland,22,36,28,5.8,41,Fish Fertilizer
Oxisol,37,39,37,6.15,41,Granular Fertilizer
Woodland,55,27,38,6.97,43,Compost
Alluvial,41,32,34,6.45,44,Blood Meal
Delta,53,47,10,6.25,44,Green Manure
Regosol,27,30,26,6.29,38,Seaweed Extract
Andosol,59,16,26,6.42,48,Tea Compost
Gleysol,38,49,12,7.07,49,Magnesium Sulfate
Tropical,56,48,21,7.28,37,Fish Fertilizer
Calcareous,25,44,15,7.41,48,Granular Fertilizer
Loamy,45,27,35,7.07,35,Manure
Arid,53,27,20,6.13,49,Liquid Fertilizer
Andosol,25,32,12,6.88,48,Ammonium Nitrate
Alkaline,56,46,17,6.38,33,Chitin
Desert,52,46,23,6.01,36,Micronutrients
Silty,41,49,23,7.18,33,Poultry Manure
Andosol,40,43,19,5.58,41,Humic Acid
Marsh,25,43,11,7.3,42,Ammonium Nitrate
Chalk,25,30,23,6.42,32,Blood Meal
Tundra,23,24,18,6.77,41,Seaweed Extract
Floodplain,49,44,12,6.82,31,Green Manure
Podzol,30,39,30,7.29,31,Green Manure
Silty,49,34,35,6.77,38,Humus
Prairie,50,19,17,6.73,30,Horse Manure
Latosol,43,15,25,5.63,37,Bio-Fertilizer
Sandy,28,44,11,6.54,35,Slow-Release Fertilizer
Steppe Soil,22,17,15,5.8,35,Kelp Meal
Woodland,50,28,37,6.97,47,Poultry Manure
Regosol,59,44,30,6.52,46,Magnesium Sulfate
Alkaline,56,18,38,6.86,41,Folic Acid
Gleysol,55,32,35,5.58,35,Bone Meal
Acidic,43,39,34,5.67,37,Ammonium Nitrate
Regosol,50,15,21,6.93,48,Slow-Release Fertilizer
Brown Clay,25,29,14,5.64,39,Compost Tea
Floodplain,21,23,11,5.64,30,Bat Guano
Terrace,39,29,25,5.52,42,Bone Meal
Mollisol,47,38,14,7.41,46,Cow Manure
Podzol,30,18,24,6.98,32,Bat Fertilizer
Histosol,23,26,21,6.21,37,NPK
Chalk,34,20,13,6.09,43,Ammonium Nitrate
Sandy,25,38,24,6.2,32,Citrus Fertilizer
Saline,49,25,20,7.05,45,Urea
Kandi,57,27,25,6.82,42,Seaweed Extract
Oxisol,21,48,32,5.87,49,Plant Growth Promoter
Chalk,34,39,15,5.85,46,Seaweed Extract
Kandi,30,21,23,5.7,42,Organic
Limestone,27,18,27,6.82,35,Micronutrients
Marsh,45,22,21,7.03,46,Liquid Fertilizer
Prairie,24,34,36,6.03,43,Bat Fertilizer
Gleysol,25,43,20,5.54,46,Peat Moss
Yellow,45,24,22,5.66,37,Goat Manure
Loess,23,48,30,7.44,40,Plant Growth Promoter
Mollisol,38,40,32,6.09,49,Blood Meal
Floodplain,39,17,20,7.04,30,Plant Extracts
Brown,52,20,32,6.75,36,Organic Liquid Fertilizer
Stagnosol,39,19,25,6.26,46,Kelp Meal
Delta,31,19,24,5.91,39,Kelp Meal
Acidic,20,37,30,5.74,40,Tea Compost
Floodplain,45,23,37,6.73,38,Phosphate Rock
Forest,33,49,24,7.05,38,Magnesium Sulfate
Histosol,57,34,34,6.79,34,Blood Meal
Desert,56,49,13,6.56,46,Compost
Alluvial,30,32,20,5.58,38,NPK
Ferralitic,55,31,28,7.44,46,Kelp Meal
Marsh,32,38,24,7.1,48,Calcium Nitrate
Regosol,22,17,13,6.09,36,Bone Meal
Latosol,52,46,30,7.46,38,Phosphate Rock
River,25,49,22,6.7,36,Potassium Sulfate
Prairie,29,27,31,6.66,42,Granular Fertilizer
Tundra,24,39,28,7.0,40,Cottonseed Meal
Ferralitic,42,23,11,7.12,43,Blood Meal
Inceptisol,29,18,23,6.81,48,Bat Guano
Limestone,21,28,38,5.76,40,Humic Acid
Delta,32,48,13,6.18,42,Organic
Ferralitic,59,25,25,7.36,43,Tea Compost
Clay,21,17,30,5.95,42,Plant Extracts
Tundra,39,42,29,6.24,30,Organic Liquid Fertilizer
Alkaline,20,43,23,6.36,37,Folic Acid
Silty,56,23,36,6.38,41,Leaf Mold
River,28,17,38,6.73,48,Green Manure
Clay,36,39,24,7.39,41,Dolomitic Lime
Gleysol,28,48,37,5.98,37,Granular Fertilizer
Acidic,30,26,12,5.74,37,Green Manure
River,34,23,17,5.89,42,Bone Meal
Humus,43,29,25,7.27,41,Green Manure
Andosol,57,39,19,6.79,45,Compost Tea
Terrace,54,19,13,6.07,30,Tea Compost
Acidic,49,25,39,7.13,42,Magnesium Carbonate
Brown Clay,50,48,27,7.22,36,Potassium Chloride
Brown Clay,24,38,11,7.19,34,Urea
Gray,33,29,26,7.34,37,Plant Extracts
Peaty,30,22,22,6.0,43,Citrus Fertilizer
